npi,uuid
1073682449,0272b223-e4cd-4e35-a7d9-deb35796c273
1326035460,1bb73768-e79f-440a-9da2-8a6939095154
1184990905,1f0e1e07-55f2-4bf4-b40a-1ec4d28816ed
1629211891,4355224c-46c6-4840-9229-e9edb26b5fef
1487601183,4355224c-46c6-4840-9229-e9edb26b5fef
1700084464,4355224c-46c6-4840-9229-e9edb26b5fef
1649563651,4355224c-46c6-4840-9229-e9edb26b5fef
1881929156,4355224c-46c6-4840-9229-e9edb26b5fef
1942226790,4355224c-46c6-4840-9229-e9edb26b5fef
1528398682,4355224c-46c6-4840-9229-e9edb26b5fef
1497953244,4355224c-46c6-4840-9229-e9edb26b5fef
1326070046,4355224c-46c6-4840-9229-e9edb26b5fef
1720175847,4355224c-46c6-4840-9229-e9edb26b5fef
1568874345,4355224c-46c6-4840-9229-e9edb26b5fef
1083902464,4355224c-46c6-4840-9229-e9edb26b5fef
1568462513,4355224c-46c6-4840-9229-e9edb26b5fef
1780970467,4355224c-46c6-4840-9229-e9edb26b5fef
1144438995,4355224c-46c6-4840-9229-e9edb26b5fef
1679738330,4355224c-46c6-4840-9229-e9edb26b5fef
1538242292,4355224c-46c6-4840-9229-e9edb26b5fef
1598104564,4355224c-46c6-4840-9229-e9edb26b5fef
1447409214,4355224c-46c6-4840-9229-e9edb26b5fef
1548500291,4355224c-46c6-4840-9229-e9edb26b5fef
1720226202,4355224c-46c6-4840-9229-e9edb26b5fef
1457643025,4355224c-46c6-4840-9229-e9edb26b5fef
1063640829,4355224c-46c6-4840-9229-e9edb26b5fef
1053525170,4355224c-46c6-4840-9229-e9edb26b5fef
1235191883,4355224c-46c6-4840-9229-e9edb26b5fef
1457647760,4355224c-46c6-4840-9229-e9edb26b5fef
1760497309,4355224c-46c6-4840-9229-e9edb26b5fef
1851360531,4355224c-46c6-4840-9229-e9edb26b5fef
1487195053,4355224c-46c6-4840-9229-e9edb26b5fef
1427135516,4355224c-46c6-4840-9229-e9edb26b5fef
1336117217,4355224c-46c6-4840-9229-e9edb26b5fef
1265751861,4355224c-46c6-4840-9229-e9edb26b5fef
1861977266,4355224c-46c6-4840-9229-e9edb26b5fef
1891082665,4355224c-46c6-4840-9229-e9edb26b5fef
1710473996,4355224c-46c6-4840-9229-e9edb26b5fef
1235231069,4355224c-46c6-4840-9229-e9edb26b5fef
1679795603,4355224c-46c6-4840-9229-e9edb26b5fef
1841670304,4355224c-46c6-4840-9229-e9edb26b5fef
