npi,uuid
1427395326,4355224c-46c6-4840-9229-e9edb26b5fef
1407856214,4355224c-46c6-4840-9229-e9edb26b5fef
1154321867,4355224c-46c6-4840-9229-e9edb26b5fef
1942201439,4355224c-46c6-4840-9229-e9edb26b5fef
1629129606,4355224c-46c6-4840-9229-e9edb26b5fef
1033560354,4355224c-46c6-4840-9229-e9edb26b5fef
1790281178,4355224c-46c6-4840-9229-e9edb26b5fef
1144208851,4355224c-46c6-4840-9229-e9edb26b5fef
1528228798,4355224c-46c6-4840-9229-e9edb26b5fef
1891787339,4355224c-46c6-4840-9229-e9edb26b5fef
1770164857,4355224c-46c6-4840-9229-e9edb26b5fef
1568216752,4355224c-46c6-4840-9229-e9edb26b5fef
1932662574,4355224c-46c6-4840-9229-e9edb26b5fef
1184706384,4355224c-46c6-4840-9229-e9edb26b5fef
1902868789,4355224c-46c6-4840-9229-e9edb26b5fef
1780031393,4355224c-46c6-4840-9229-e9edb26b5fef
1811108251,4355224c-46c6-4840-9229-e9edb26b5fef
1043048721,4355224c-46c6-4840-9229-e9edb26b5fef
1225866569,4355224c-46c6-4840-9229-e9edb26b5fef
1043552243,4355224c-46c6-4840-9229-e9edb26b5fef
1699297788,4355224c-46c6-4840-9229-e9edb26b5fef
1891185229,4355224c-46c6-4840-9229-e9edb26b5fef
1528591021,4355224c-46c6-4840-9229-e9edb26b5fef
1689961807,4355224c-46c6-4840-9229-e9edb26b5fef
1477387124,4355224c-46c6-4840-9229-e9edb26b5fef
1427881812,4355224c-46c6-4840-9229-e9edb26b5fef
1033949771,4355224c-46c6-4840-9229-e9edb26b5fef
1992399745,4355224c-46c6-4840-9229-e9edb26b5fef
1780020586,4355224c-46c6-4840-9229-e9edb26b5fef
1174983910,4355224c-46c6-4840-9229-e9edb26b5fef
1386617389,4355224c-46c6-4840-9229-e9edb26b5fef
1720044415,4355224c-46c6-4840-9229-e9edb26b5fef
1619359288,4355224c-46c6-4840-9229-e9edb26b5fef
1134941073,4355224c-46c6-4840-9229-e9edb26b5fef
1346805355,4355224c-46c6-4840-9229-e9edb26b5fef
1386239101,4355224c-46c6-4840-9229-e9edb26b5fef
1831695774,4355224c-46c6-4840-9229-e9edb26b5fef
1568025013,4355224c-46c6-4840-9229-e9edb26b5fef
1821552373,4355224c-46c6-4840-9229-e9edb26b5fef
1093936692,4355224c-46c6-4840-9229-e9edb26b5fef
1538500244,4355224c-46c6-4840-9229-e9edb26b5fef
1730172362,4355224c-46c6-4840-9229-e9edb26b5fef
1700307899,4355224c-46c6-4840-9229-e9edb26b5fef
1215248356,4355224c-46c6-4840-9229-e9edb26b5fef
1619263134,4355224c-46c6-4840-9229-e9edb26b5fef
1467610006,4355224c-46c6-4840-9229-e9edb26b5fef
1265845507,4355224c-46c6-4840-9229-e9edb26b5fef
1932584588,4355224c-46c6-4840-9229-e9edb26b5fef
1801175401,4355224c-46c6-4840-9229-e9edb26b5fef
1881030997,4355224c-46c6-4840-9229-e9edb26b5fef
1326231655,4dd5372e-1015-4565-b0bd-55899656631b
1568479335,4dd5372e-1015-4565-b0bd-55899656631b
1831157916,5ffd1c65-b9a4-484e-a9ed-911e0e333a6d
1669832846,5ffd1c65-b9a4-484e-a9ed-911e0e333a6d
1114988821,67a90b85-e3ff-4a45-b9ee-c3b7dbc18cd7
1255470969,67a90b85-e3ff-4a45-b9ee-c3b7dbc18cd7
1487434908,7400cba1-3899-4d90-8a99-bb1f344977f1
1245357300,ad0f8816-c015-47f2-8b66-726063fcfc94
1679745459,e9f39a8c-9d9b-4f01-bf87-6c61292bfa0a
1568649606,e9f39a8c-9d9b-4f01-bf87-6c61292bfa0a
1215086152,e9f39a8c-9d9b-4f01-bf87-6c61292bfa0a
1144253790,e9f39a8c-9d9b-4f01-bf87-6c61292bfa0a
1528017860,e9f39a8c-9d9b-4f01-bf87-6c61292bfa0a
1457734022,e9f39a8c-9d9b-4f01-bf87-6c61292bfa0a
1215474432,e9f39a8c-9d9b-4f01-bf87-6c61292bfa0a
1467784967,e9f39a8c-9d9b-4f01-bf87-6c61292bfa0a
1912603002,e9f39a8c-9d9b-4f01-bf87-6c61292bfa0a
1700086147,f445457b-5faa-417d-a349-2491d5539147
1457455081,fa86263c-16a3-4512-a9c3-ec0b8b8c4d66
